scraped_at,category,product_id,name,brand,variant,price_ex_vat_gbp,unit_price_raw,region,promo_label,status,product_url,image_url,rating_stars,review_count,price_inc_vat_gbp,price_before_discount_gbp,style_body,style_richness,style_smoke,style_sweetness,character_notes,fact_bottler,fact_country,fact_region,fact_cask_type,fact_colouring
2026-01-15 09:15:51,Single Malt,73311,Laphroaig 10 Year Old Cask Strength / Batch 016,Laphroaig,70cl / 58.5%,58.29,(£71.36 per litre),Islay,Special Offer: £20 Off!,In Stock,https://www.thewhiskyexchange.com/p/73311/laphroaig-10-year-old-cask-strength-batch-016,https://img.thewhiskyexchange.com/380/lrgob.10yov92.jpg?v=202407241,,,49.95,69.95,4,4,4,2,Oil|Kippers|Apple|Peat smoke|Meat|Leather,Distillery Bottling,Scotland,Islay,,
2026-01-15 09:15:51,Single Malt,15703,Glenlivet 18 Year Old Batch Reserve,Glenlivet,70cl / 40%,83.29,(£142.79 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/15703/glenlivet-18-year-old-batch-reserve,https://img.thewhiskyexchange.com/380/glvob.18yov1.jpg?v=202407241,4.5,57,99.95,,4,3,0,4,Raisins|Honey|Malt|Nutmeg|Clove|Orange,Distillery Bottling,Scotland,Speyside,,Yes
2026-01-15 09:15:51,Single Malt,47814,Clynelish Reserve / Game of Thrones House Tyrell,Clynelish,70cl / 51.2%,36.62,(£62.79 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/47814/clynelish-reserve-game-of-thrones-house-tyrell,https://img.thewhiskyexchange.com/380/clyob.non4.jpg?v=202407241,5,13,43.95,,3,2,1,4,Vanilla|Salt (powder)|Mango|Pineapple|Wax|Heather,Distillery Bottling,Scotland,Highland,,
2026-01-15 09:15:51,Single Malt,4132,Oban 14 Year Old,Oban,70cl / 43%,72.71,(£124.64 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/4132/oban-14-year-old,https://img.thewhiskyexchange.com/380/obnob.14yo.jpg?v=202407241,4.5,132,87.25,,4,4,2,2,Figs|Malt|Honey|Smoke,Distillery Bottling,Scotland,Highland,,Yes
2026-01-15 09:15:51,Single Malt,7218,Dalmore 15 Year Old,Dalmore,70cl / 40%,91.67,(£157.14 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/7218/dalmore-15-year-old,https://img.thewhiskyexchange.com/380/dlmob.15yo.jpg?v=202407241,4.5,79,110,,4,5,0,4,Christmas Cake|Raisins|Cinnamon|Cherry|Nutmeg|Ginger,Distillery Bottling,Scotland,Highland,,Yes
2026-01-15 09:15:51,Single Malt,43962,Port Charlotte 10 Year Old,Port Charlotte,70cl / 50%,49.38,(£84.64 per litre),Islay,,In Stock,https://www.thewhiskyexchange.com/p/43962/port-charlotte-10-year-old,https://img.thewhiskyexchange.com/380/pclob.10yov3.jpg?v=202407241,5,64,59.25,,4,4,4,1,Iodine (tcp)|Smoke|Cream|Carbolic Soap|Salt (powder)|Seaweed,Distillery Bottling,Scotland,Islay,,No
2026-01-15 09:15:51,Single Malt,72226,Mortlach Natural Cask Strength / Special Releases 2023,Mortlach,70cl / 58%,195.83,(£157.14 per litre),Speyside,Special Offer: £125 Off!,In Stock,https://www.thewhiskyexchange.com/p/72226/mortlach-natural-cask-strength-special-releases-2023,https://img.thewhiskyexchange.com/380/mtlob.non4.jpg?v=202407241,,,110,235,4,5,0,3,Blackberry|Cinnamon|Rosemary|Mushroom,Distillery Bottling,Scotland,Speyside,,
2026-01-15 09:15:51,Single Malt,82931,Scapa 10 Year Old,Scapa,70cl / 48%,44.12,(£75.64 per litre),Island,,In Stock,https://www.thewhiskyexchange.com/p/82931/scapa-10-year-old,https://img.thewhiskyexchange.com/380/scpob.10yov2.jpg?v=202407241,5,4,52.95,,3,3,0,3,Pineapple|Caramel|Banana|Cinnamon|Sponge cake,Distillery Bottling,Scotland,Island,,
2026-01-15 09:15:51,Single Malt,1665,Clynelish 14 Year Old,Clynelish,70cl / 46%,47.08,(£80.71 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/1665/clynelish-14-year-old,https://img.thewhiskyexchange.com/380/clyob.14yo.jpg?v=202407241,4.5,71,56.50,,3,2,1,3,Lemon|Brine|Cinnamon|Heather|Wax|Honey,Distillery Bottling,Scotland,Highland,,Yes
2026-01-15 09:15:51,Single Malt,1902,Edradour 10 Year Old,Edradour,70cl / 46%,38.75,(£60.71 per litre),Highland,Special Offer: £4 Off!,In Stock,https://www.thewhiskyexchange.com/p/1902/edradour-10-year-old,https://img.thewhiskyexchange.com/380/edrob.10yov1.jpg?v=202407241,5,90,42.50,46.50,3,2,0,3,Honey|Biscuits|Nutmeg|Vanilla|Apple,Distillery Bottling,Scotland,Highland,,No
2026-01-15 09:15:51,Single Malt,52345,Mortlach 15 Year Old / Game of Thrones Six Kingdoms,Mortlach,70cl / 46%,74.12,(£92.79 per litre),Speyside,Special Offer: £24 Off!,In Stock,https://www.thewhiskyexchange.com/p/52345/mortlach-15-year-old-game-of-thrones-six-kingdoms,https://img.thewhiskyexchange.com/380/mtlob.15yo.jpg?v=202407241,4.5,2,64.95,88.95,4,3,0,3,Clove|Raisins|Apple|Dates|Dark Chocolate|Fruit Cake,Distillery Bottling,Scotland,Speyside,Bourbon Barrel Finish,
