scraped_at,category,product_id,name,brand,variant,price_gbp,unit_price_raw,region,promo_label,status,product_url,image_url
2025-12-29 22:13:54,Single Malt,83211,Glendronach Ode to the Dark,Glendronach,70cl / 50.8%,59.58,(£102.14 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/83211/glendronach-ode-to-the-dark,https://img.thewhiskyexchange.com/380/grnob.non22.jpg?v=202407241
2025-12-29 22:13:54,Single Malt,82931,Scapa 10 Year Old,Scapa,70cl / 48%,44.12,(£64.21 per litre),Island,Special Offer: £8 Off!,In Stock,https://www.thewhiskyexchange.com/p/82931/scapa-10-year-old,https://img.thewhiskyexchange.com/380/scpob.10yov2.jpg?v=202407241
2025-12-29 22:13:54,Single Malt,5850,Aberfeldy 12 Year Old,Aberfeldy,70cl / 40%,38.75,(£66.43 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/5850/aberfeldy-12-year-old,https://img.thewhiskyexchange.com/380/abfob.12yov1.jpg?v=202407241
2025-12-29 22:13:54,Single Malt,42534,Jura 10 Year Old,Jura,70cl / 40%,29.38,(£37.50 per litre),Island,Special Offer: £9 Off!,In Stock,https://www.thewhiskyexchange.com/p/42534/jura-10-year-old,https://img.thewhiskyexchange.com/380/iojob.10yov9.jpg?v=202407241
2025-12-29 22:13:54,Single Malt,45607,Old Pulteney 15 Year Old,Old Pulteney,70cl / 46%,66.25,(£83.57 per litre),Highland,Special Offer: £21 Off!,In Stock,https://www.thewhiskyexchange.com/p/45607/old-pulteney-15-year-old,https://img.thewhiskyexchange.com/380/opnob.15yov2.jpg?v=202407241
2025-12-29 22:13:58,Single Malt,12983,Ledaig 10 Year Old,Ledaig,70cl / 46.3%,33.96,(£58.21 per litre),Island,,In Stock,https://www.thewhiskyexchange.com/p/12983/ledaig-10-year-old,https://img.thewhiskyexchange.com/380/ldgob.10yov1.jpg?v=202407241
2025-12-29 22:13:58,Single Malt,51202,Arran Sherry Cask,Arran,70cl / 55.8%,53.12,(£91.07 per litre),Island,,In Stock,https://www.thewhiskyexchange.com/p/51202/arran-sherry-cask,https://img.thewhiskyexchange.com/380/arrob.non71.jpg?v=202407241
2025-12-29 22:13:58,Single Malt,3512,Macallan 12 Year Old Sherry Oak,Macallan,70cl / 40%,72.46,(£124.21 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/3512/macallan-12-year-old-sherry-oak,https://img.thewhiskyexchange.com/380/macob.12yo.jpg?v=202407241
2025-12-29 22:13:58,Single Malt,15703,Glenlivet 18 Year Old Batch Reserve,Glenlivet,70cl / 40%,83.29,(£142.79 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/15703/glenlivet-18-year-old-batch-reserve,https://img.thewhiskyexchange.com/380/glvob.18yov1.jpg?v=202407241
2025-12-29 22:13:58,Single Malt,7218,Dalmore 15 Year Old,Dalmore,70cl / 40%,91.67,(£157.14 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/7218/dalmore-15-year-old,https://img.thewhiskyexchange.com/380/dlmob.15yo.jpg?v=202407241
2025-12-29 22:13:58,Single Malt,47814,Clynelish Reserve / Game of Thrones House Tyrell,Clynelish,70cl / 51.2%,36.62,(£62.79 per litre),Highland,,In Stock,https://www.thewhiskyexchange.com/p/47814/clynelish-reserve-game-of-thrones-house-tyrell,https://img.thewhiskyexchange.com/380/clyob.non4.jpg?v=202407241
2025-12-29 22:13:58,Single Malt,2093,Glenfiddich 18 Year Old,Glenfiddich,70cl / 40%,81.04,(£138.93 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/2093/glenfiddich-18-year-old,https://img.thewhiskyexchange.com/380/gfdob.18yo.jpg?v=202407241
2025-12-29 22:13:58,Single Malt,284,Balvenie 12 Year Old DoubleWood,Balvenie,70cl / 40%,44.58,(£76.43 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/284/balvenie-12-year-old-doublewood,https://img.thewhiskyexchange.com/380/balob.12yo.jpg?v=202407241
2025-12-29 22:13:58,Single Malt,53636,Aberlour Casg Annamh,Aberlour,70cl / 48%,47.29,(£81.07 per litre),Speyside,,In Stock,https://www.thewhiskyexchange.com/p/53636/aberlour-casg-annamh,https://img.thewhiskyexchange.com/380/ablob.non47.jpg?v=202407241
