scraped_at,category,product_id,name,brand,variant,price_gbp,unit_price_raw,region,promo_label,product_url,image_url,is_brand_placeholder,bottle_size_cl,bottle_size_l,abv_percent,unit_price_gbp_per_litre,discount_amount_gbp,is_discounted,price_pre_discount_calc_gbp,true_price_gbp,true_unit_price_per_l,alcohol_units,true_price_per_alcohol_unit_gbp,price_tier,discount_percent,discount_band,age_years,is_age_stated,age_band,bottle_size_band,abv_band,is_cask_strength
2025-12-29 22:13:54,Single Malt,17985,Balvenie 14 Year Old Caribbean Cask,Balvenie,70cl / 43%,59.79,(£102.50 per litre),Speyside,,https://www.thewhiskyexchange.com/p/17985/balvenie-14-year-old-caribbean-cask,https://img.thewhiskyexchange.com/380/balob.14yov4.jpg?v=202407241,False,70.0,0.7,43.0,102.5,,False,59.79,59.79,85.41,30.099999999999998,1.99,Premium,0.0,No Discount,14.0,True,11–15,Standard (70cl),40–43%,False
2025-12-29 22:13:54,Single Malt,43962,Port Charlotte 10 Year Old,Port Charlotte,70cl / 50%,49.38,(£84.64 per litre),Islay,,https://www.thewhiskyexchange.com/p/43962/port-charlotte-10-year-old,https://img.thewhiskyexchange.com/380/pclob.10yov3.jpg?v=202407241,False,70.0,0.7,50.0,84.64,,False,49.38,49.38,70.54,35.0,1.41,Premium,0.0,No Discount,10.0,True,≤10,Standard (70cl),46–50%,True
2025-12-29 22:13:54,Single Malt,51008,Glenallachie 15 Year Old / Sherry Cask,Glenallachie,70cl / 46%,57.08,(£97.86 per litre),Speyside,,https://www.thewhiskyexchange.com/p/51008/glenallachie-15-year-old-sherry-cask,https://img.thewhiskyexchange.com/380/gleob.15yo.jpg?v=202407241,False,70.0,0.7,46.0,97.86,,False,57.08,57.08,81.54,32.199999999999996,1.77,Premium,0.0,No Discount,15.0,True,11–15,Standard (70cl),43–46%,False
2025-12-29 22:13:54,Single Malt,2038,Glenfarclas 15 Year Old,Glenfarclas,70cl / 46%,66.62,(£114.21 per litre),Speyside,,https://www.thewhiskyexchange.com/p/2038/glenfarclas-15-year-old,https://img.thewhiskyexchange.com/380/gfcob.15yo.jpg?v=202407241,False,70.0,0.7,46.0,114.21,,False,66.62,66.62,95.17,32.199999999999996,2.07,Premium,0.0,No Discount,15.0,True,11–15,Standard (70cl),43–46%,False
2025-12-29 22:13:54,Single Malt,64061,Glendronach 15 Year Old / Sherry Cask Matured,Glendronach,70cl / 46%,67.71,(£116.07 per litre),Highland,,https://www.thewhiskyexchange.com/p/64061/glendronach-15-year-old-sherry-cask-matured,https://img.thewhiskyexchange.com/380/grnob.15yov10.jpg?v=202407241,False,70.0,0.7,46.0,116.07,,False,67.71,67.71,96.73,32.199999999999996,2.1,Premium,0.0,No Discount,15.0,True,11–15,Standard (70cl),43–46%,False
2025-12-29 22:13:54,Single Malt,3395,Laphroaig 10 Year Old,Laphroaig,70cl / 40%,34.12,(£58.50 per litre),Islay,Special Offer: Free Laphroaig Dry Bag,https://www.thewhiskyexchange.com/p/3395/laphroaig-10-year-old,https://img.thewhiskyexchange.com/380/lrgob.10yov1.jpg?v=202407241,False,70.0,0.7,40.0,58.5,,False,34.12,34.12,48.74,28.0,1.22,Budget,0.0,No Discount,10.0,True,≤10,Standard (70cl),≤40%,False
2025-12-29 22:13:54,Single Malt,60097,Royal Brackla 12 Year Old / Sherry Finish,Royal Brackla,70cl / 46%,57.71,(£98.93 per litre),Highland,,https://www.thewhiskyexchange.com/p/60097/royal-brackla-12-year-old-sherry-finish,https://img.thewhiskyexchange.com/380/rblob.12yov3.jpg?v=202407241,False,70.0,0.7,46.0,98.93,,False,57.71,57.71,82.44,32.199999999999996,1.79,Premium,0.0,No Discount,12.0,True,11–15,Standard (70cl),43–46%,False
2025-12-29 22:13:54,Single Malt,83211,Glendronach Ode to the Dark,Glendronach,70cl / 50.8%,59.58,(£102.14 per litre),Highland,,https://www.thewhiskyexchange.com/p/83211/glendronach-ode-to-the-dark,https://img.thewhiskyexchange.com/380/grnob.non22.jpg?v=202407241,False,70.0,0.7,50.8,102.14,,False,59.58,59.58,85.11,35.559999999999995,1.68,Premium,0.0,No Discount,,False,,Standard (70cl),50%+,True
2025-12-29 22:13:54,Single Malt,82931,Scapa 10 Year Old,Scapa,70cl / 48%,44.12,(£64.21 per litre),Island,Special Offer: £8 Off!,https://www.thewhiskyexchange.com/p/82931/scapa-10-year-old,https://img.thewhiskyexchange.com/380/scpob.10yov2.jpg?v=202407241,False,70.0,0.7,48.0,64.21,8.0,True,52.12,52.12,74.46,33.599999999999994,1.55,Premium,15.35,Medium (10–20%),10.0,True,≤10,Standard (70cl),46–50%,False
2025-12-29 22:13:54,Single Malt,5850,Aberfeldy 12 Year Old,Aberfeldy,70cl / 40%,38.75,(£66.43 per litre),Highland,,https://www.thewhiskyexchange.com/p/5850/aberfeldy-12-year-old,https://img.thewhiskyexchange.com/380/abfob.12yov1.jpg?v=202407241,False,70.0,0.7,40.0,66.43,,False,38.75,38.75,55.36,28.0,1.38,Budget,0.0,No Discount,12.0,True,11–15,Standard (70cl),≤40%,False
